billionaire_id,display_name,net_worth,country,wealth_rank,age,residence,citizenship,children,is_self_made,geometry,first_name,middle_name,last_name,suffix,city_of_residence,state_of_residence,longitude,latitude
45,Len Blavatnik,32.0,United States,46,63.0,"London, United Kingdom",United States,,True,POINT (-0.1276474 51.5073219),Len,,Blavatnik,,London,United Kingdom,-0.1276474,51.5073219
46,Lee Shau Kee,31.7,Hong Kong,47,93.0,"Hong Kong, Hong Kong",Hong Kong,5.0,True,POINT (114.1628131 22.2793278),Lee,Shau,Kee,,Hong Kong,,114.1628131,22.2793278
47,Jacqueline Mars,31.3,United States,48,81.0,"The Plains, Virginia",United States,3.0,False,POINT (-77.774073 38.8624506),Jacqueline,,Mars,,The Plains,Virginia,-77.774073,38.8624506
48,John Mars,31.3,United States,48,85.0,"Jackson, Wyoming",United States,3.0,False,POINT (-110.761815 43.479965),John,,Mars,,Jackson,Wyoming,-110.761815,43.479965
49,Yang Huiyan,29.6,China,50,39.0,"Foshan, China",China,,False,POINT (113.1146335 23.0247687),Yang,,Huiyan,,Foshan,,113.1146335,23.0247687
50,Alexey Mordashov,29.1,Russia,51,55.0,"Moscow, Russia",Russia,7.0,True,POINT (37.6174943 55.7504461),Alexey,,Mordashov,,Moscow,,37.6174943,55.7504461
51,Robin Zeng,28.4,Hong Kong,52,52.0,"Ningde, China",Hong Kong,,True,POINT (119.5432715 26.6695006),Robin,,Zeng,,Ningde,,119.5432715,26.6695006
52,Hui Ka Yan,27.7,China,53,62.0,"Shenzhen, China",China,2.0,True,POINT (114.0543297 22.555454),Hui,Ka,Yan,,Shenzhen,,114.0543297,22.555454
53,Susanne Klatten,27.7,Germany,53,59.0,"Bad Homburg, Germany",Germany,3.0,False,POINT (8.6287451 50.2227094),Susanne,,Klatten,,Bad Homburg,,8.6287451,50.2227094
54,Vladimir Potanin,27.0,Russia,55,60.0,"Moscow, Russia",Russia,7.0,True,POINT (37.6174943 55.7504461),Vladimir,,Potanin,,Moscow,,37.6174943,55.7504461
55,Dietrich Mateschitz,26.9,Austria,56,76.0,"Fuschl am See, Austria",Austria,1.0,True,POINT (13.3027787 47.7963895),Dietrich,,Mateschitz,,Fuschl am See,,13.3027787,47.7963895
56,Pang Kang,26.4,China,57,65.0,"Foshan, China",China,,True,POINT (113.1146335 23.0247687),Pang,,Kang,,Foshan,,113.1146335,23.0247687
57,Klaus-Michael Kuehne,26.3,Germany,58,83.0,"Schindellegi, Switzerland",Germany,,False,POINT (8.711202699999999 47.175612),Klaus-Michael,,Kuehne,,Schindellegi,,8.711202699999999,47.175612
